trade_id,symbol,sector,side,entry_time,entry_price,exit_time,exit_price,qty,bricks_held,favorable,adverse,gross_pnl,cost,net_pnl,exit_reason
7,ATGL,Energy,LONG,2026-03-12 09:57:45,623.0,2026-03-12 10:26:13,623.8,16,23,1,5,7.82,15.29,-7.47,STRUCTURAL_REVERSAL
6,FACT,Metals,SHORT,2026-03-12 09:30:34,851.0,2026-03-12 10:58:39,862.0,11,28,-2,5,-125.68,14.42,-140.1,STRUCTURAL_REVERSAL
4,MOTILALOFS,Finance,LONG,2026-03-12 09:24:54,690.45,2026-03-12 15:02:21,698.05,14,26,2,5,101.57,14.91,86.66,STRUCTURAL_REVERSAL
5,ASTRAL,Infrastructure,LONG,2026-03-12 09:25:14,1654.0,2026-03-12 15:29:16,1678.0,6,42,4,5,139.04,15.33,123.7,STRUCTURAL_REVERSAL
1,RADICO,FMCG,LONG,2026-03-12 09:19:00,2803.3,2026-03-12 15:35:00,2860.0,3,21,5,2,165.9,13.04,152.86,EOD_SQUARE_OFF
2,MOTHERSON,Auto,LONG,2026-03-12 09:20:57,118.08,2026-03-12 15:35:00,120.7,84,23,5,0,215.12,15.39,199.73,EOD_SQUARE_OFF
3,UNOMINDA,Auto,LONG,2026-03-12 09:23:58,1051.7,2026-03-12 15:35:00,1065.0,9,21,3,4,114.97,14.61,100.36,EOD_SQUARE_OFF
