timestamp,symbol,sector,direction,brain1_prob,brain2_conviction,rel_strength,score,price,action,reason
2026-03-12 09:15:01,CGPOWER,Infrastructure,FLAT,0.4089,0.0,-0.8488,0.0,721.35,SKIP,LOW_PROB
2026-03-12 09:15:01,TATAPOWER,Energy,FLAT,0.2936,0.0,-0.6667,0.0,387.55,SKIP,LOW_PROB
2026-03-12 09:15:01,PRESTIGE,Infrastructure,FLAT,0.3875,0.0,-1.732,0.0,1269.9,SKIP,LOW_PROB
2026-03-12 09:15:01,DALBHARAT,Cement,FLAT,0.3074,0.0,0.4796,0.0,1850.0,SKIP,LOW_PROB
2026-03-12 09:15:01,SHRIRAMFIN,Finance,FLAT,0.3611,0.0,-1.6675,0.0,1017.6,SKIP,LOW_PROB
2026-03-12 09:15:01,COFORGE,IT,FLAT,0.4177,0.0,-0.1582,0.0,1093.1,SKIP,LOW_PROB
2026-03-12 09:15:01,UBL,FMCG,FLAT,0.4089,0.0,-0.6931,0.0,1639.0,SKIP,LOW_PROB
2026-03-12 09:15:01,ASIANPAINT,Consumer,FLAT,0.4195,0.0,0.0828,0.0,2202.1,SKIP,LOW_PROB
2026-03-12 09:15:01,GLAXO,Pharma,FLAT,0.3774,0.0,-2.1458,0.0,2486.0,SKIP,LOW_PROB
2026-03-12 09:15:01,LTF,Finance,FLAT,0.4195,0.0,-1.2972,0.0,264.0,SKIP,LOW_PROB
2026-03-12 09:15:01,ADANIPORTS,Consumer,FLAT,0.3509,0.0,-0.0794,0.0,1398.5,SKIP,LOW_PROB
2026-03-12 09:15:01,VOLTAS,Consumer,FLAT,0.4179,0.0,-0.3544,0.0,1463.8,SKIP,LOW_PROB
2026-03-12 09:15:01,INDUSTOWER,Telecom,FLAT,0.3509,0.0,-0.5729,0.0,433.6,SKIP,LOW_PROB
2026-03-12 09:15:01,WIPRO,IT,FLAT,0.3509,0.0,0.5721,0.0,200.1,SKIP,LOW_PROB
2026-03-12 09:15:01,KOTAKBANK,Banking,FLAT,0.4346,0.0,-1.2871,0.0,378.5,SKIP,LOW_PROB
